timestamp,switch,eth_src,eth_dst,eth_type,src_ip,dst_ip,cookie,table_id,packet_count,byte_count,idle_timeout_s,hard_timeout_s,in_port,dur,dur_nsec,label
1695491865.99492,00:00:00:00:00:00:00:0c,6a:b4:67:f6:d8:ab,02:00:00:00:00:01,0x800,172.24.16.16,172.24.16.20,9007200513032192,N/A,0,0,5,0,2,5,39000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,02:00:00:00:00:01,ba:ac:3e:25:c0:d1,0x800,172.24.16.20,172.24.16.15,9007200848576512,N/A,1,74,5,0,3,4,986000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,02:00:00:00:00:01,6a:b4:67:f6:d8:ab,0x800,172.24.16.20,172.24.16.16,9007200865353728,N/A,1,74,5,0,3,4,986000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,ba:ac:3e:25:c0:d1,02:00:00:00:00:01,0x800,172.24.16.15,172.24.16.20,9007202106867712,N/A,6674,280063596,5,0,1,4,749000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,ba:ac:3e:25:c0:d1,02:00:00:00:00:01,0x800,172.24.16.15,172.24.16.20,9007202123644928,N/A,290,415076,5,0,1,4,749000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,6a:b4:67:f6:d8:ab,02:00:00:00:00:01,0x800,172.24.16.16,172.24.16.20,9007202744401920,N/A,6121,255185346,5,0,2,4,731000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,6a:b4:67:f6:d8:ab,02:00:00:00:00:01,0x800,172.24.16.16,172.24.16.20,9007202761179136,N/A,1471,2219326,5,0,2,4,730000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,02:00:00:00:00:01,ba:ac:3e:25:c0:d1,0x800,172.24.16.20,172.24.16.15,9007205965627392,N/A,2,188,5,0,3,4,306000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,02:00:00:00:00:01,6a:b4:67:f6:d8:ab,0x800,172.24.16.20,172.24.16.16,9007206015959040,N/A,1,94,5,0,3,4,301000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,02:00:00:00:00:01,ba:ac:3e:25:c0:d1,0x800,172.24.16.20,172.24.16.15,9007206452166656,N/A,3666,260224,5,0,3,4,261000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,02:00:00:00:00:01,6a:b4:67:f6:d8:ab,0x800,172.24.16.20,172.24.16.16,9007206871597056,N/A,4511,336858,5,0,3,4,177000000,0
1695491865.99492,00:00:00:00:00:00:00:0c,N/A,N/A,N/A,N/A,N/A,0,N/A,160,43601,0,0,N/A,20,624000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,0e:53:0e:e7:c2:6e,5e:7d:a0:c9:22:15,0x800,172.24.16.17,172.24.16.11,9007199607062528,N/A,5,490,5,0,3,5,166000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,6e:2c:ce:30:dc:d4,ba:2e:c8:df:0e:c9,0x800,172.24.16.12,172.24.16.1,9007199976161280,N/A,5,490,5,0,2,5,166000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,5e:7d:a0:c9:22:15,9a:e2:59:1f:df:d6,0x800,172.24.16.11,172.24.16.4,9007199992938496,N/A,5,490,5,0,1,5,166000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,ba:2e:c8:df:0e:c9,6e:2c:ce:30:dc:d4,0x800,172.24.16.1,172.24.16.12,9007200110379008,N/A,5,490,5,0,3,5,68000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,9a:e2:59:1f:df:d6,5e:7d:a0:c9:22:15,0x800,172.24.16.4,172.24.16.11,9007200194265088,N/A,5,490,5,0,3,5,39000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,5e:7d:a0:c9:22:15,0e:53:0e:e7:c2:6e,0x800,172.24.16.11,172.24.16.17,9007200697581568,N/A,5,490,5,0,1,5,16000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,5e:7d:a0:c9:22:15,02:00:00:00:00:01,0x800,172.24.16.11,172.24.16.20,9007200009715712,N/A,0,0,5,0,1,5,39000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,6e:2c:ce:30:dc:d4,02:00:00:00:00:01,0x800,172.24.16.12,172.24.16.20,9007200412368896,N/A,1,74,5,0,2,5,39000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,02:00:00:00:00:01,5e:7d:a0:c9:22:15,0x800,172.24.16.20,172.24.16.11,9007200714358784,N/A,1,74,5,0,3,5,5000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,5e:7d:a0:c9:22:15,02:00:00:00:00:01,0x800,172.24.16.11,172.24.16.20,9007201217675264,N/A,6663,260312334,5,0,1,4,903000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,5e:7d:a0:c9:22:15,02:00:00:00:00:01,0x800,172.24.16.11,172.24.16.20,9007201234452480,N/A,2377,3594162,5,0,1,4,903000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,6e:2c:ce:30:dc:d4,02:00:00:00:00:01,0x800,172.24.16.12,172.24.16.20,9007204304683008,N/A,11210,542233632,5,0,2,4,518000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,6e:2c:ce:30:dc:d4,02:00:00:00:00:01,0x800,172.24.16.12,172.24.16.20,9007204321460224,N/A,1156,1735848,5,0,2,4,518000000,0
1695491865.99492,00:00:00:00:00:00:00:0a,02:00:00:00:00:01,6e:2c:ce:30:dc:d4,0x800,172.24.16.20,172.24.16.12,9007205512642560,N/A,2,148,5,0,3,4,356000000,0
