timestamp,datapath,rx-pkts,rx-bytes,rx-error,rx_dropped,tx-pkts,tx-bytes,tx-error,tx_dropped,duration_nsec,label
1694687833.401683,13,0,0,0,590,0,0,0,0,708,0
1694687833.403004,2,7471548,502472959,0,0,11485582,280494242523,0,0,708,0
1694687833.403004,2,3394892,74620099338,0,0,2377367,160135401,0,0,708,0
1694687833.403004,2,5069409,158738017118,0,0,2804654,188163161,0,0,708,0
1694687833.403004,2,3022484,47136240700,0,0,2292000,154401941,0,0,708,0
1694687833.403004,2,0,0,0,594,0,0,0,0,708,0
1694687833.404012,3,6469888,436925516,0,0,9923592,237188587638,0,0,708,0
1694687833.404012,3,2907201,51234087568,0,0,2154949,145572225,0,0,708,0
1694687833.404012,3,4249242,142621988524,0,0,2218523,149725886,0,0,708,0
1694687833.404012,3,2769640,43332746690,0,0,2100177,141974657,0,0,708,0
1694687833.404012,3,0,0,0,588,0,0,0,0,708,0
1694687833.40498,8,1417239,18442047744,0,0,1122865,75412377,0,0,708,0
1694687833.40498,8,1417963,20317664524,0,0,1089203,73359969,0,0,708,0
1694687833.40498,8,2211422,148714471,0,0,2835394,38759725992,0,0,708,0
1694687833.40498,8,0,0,0,592,0,0,0,0,708,0
1694687843.345541,1,11686754,284050793411,0,0,7624992,512813831,0,0,718,0
1694687843.345541,1,10063448,240168604496,0,0,6571724,443955152,0,0,718,0
1694687843.345541,1,14192209,956346340,0,0,21746383,524219037479,0,0,718,0
1694687843.345541,1,31,3518,0,0,603,52959,0,0,718,0
1694687843.345541,1,0,0,0,591,0,0,0,0,718,0
1694687843.347063,10,2157456,57701013996,0,0,1467431,98234827,0,0,718,0
1694687843.347063,10,1541338,23225071190,0,0,1178856,79159965,0,0,718,0
1694687843.347063,10,2645641,177337354,0,0,3698992,80926099426,0,0,718,0
1694687843.347063,10,0,0,0,590,0,0,0,0,718,0
1694687843.347697,14,603,52959,0,0,31,3518,0,0,718,0
1694687843.347697,14,0,0,0,594,0,0,0,0,718,0
1694687843.348882,6,3196048,130769594976,0,0,1363100,91080437,0,0,718,0
1694687843.348882,6,1907533,28568670726,0,0,1467341,98822735,0,0,718,0
1694687843.348882,6,2829790,189844641,0,0,5103784,159338280300,0,0,718,0
1694687843.348882,6,0,0,0,595,0,0,0,0,718,0
1694687843.399389,8,1448493,18746148380,0,0,1150060,77222027,0,0,718,0
1694687843.399389,8,1436750,20622833058,0,0,1103987,74380829,0,0,718,0
1694687843.399389,8,2253399,151544849,0,0,2885435,39368995162,0,0,718,0
1694687843.399389,8,0,0,0,592,0,0,0,0,718,0
1694687843.400655,13,1615720,27478295326,0,0,1201865,81172901,0,0,718,0
1694687843.400655,13,1205370,16901304052,0,0,936596,63466619,0,0,718,0
1694687843.400655,13,2137814,144581731,0,0,2821291,44379613736,0,0,718,0
